# Selection : patch(inlet)
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0.00262086    	4.406597e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00276844    	4.756940e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00291603    	5.884412e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00306675    	6.058265e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00321747    	5.778109e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00337162    	6.144093e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00352577    	6.090145e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00367992    	5.910831e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00383792    	5.631102e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00399592    	5.039967e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00415819    	4.462735e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00432047    	3.710563e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00448274    	2.779455e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00464993    	1.607607e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00481712    	5.468933e-02	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00498431    	-8.105682e-02	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00515726    	-2.227945e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00533022    	-3.607797e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00550317    	-5.122213e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00567613    	-6.664282e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00584908    	-8.258377e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00602956    	-1.011659e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00621003    	-1.180698e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00639051    	-1.345997e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00657098    	-1.528021e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00675146    	-1.697810e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00693193    	-1.858032e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00712369    	-2.108232e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00731544    	-2.222117e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00750719    	-2.450112e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00769895    	-2.557875e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0078907     	-2.752866e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00808246    	-2.870536e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00827421    	-3.045951e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00846597    	-3.147605e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00865772    	-3.322069e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00884947    	-3.410620e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00904123    	-3.578841e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00923298    	-3.653962e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00942474    	-3.816075e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00961649    	-3.873504e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00980825    	-4.038842e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.01          	-4.081576e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0102174     	-4.283022e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0104348     	-4.305357e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0106572     	-4.495760e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0108797     	-4.522638e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0111021     	-4.664953e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0113303     	-4.612950e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0115584     	-4.908763e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0117866     	-4.813458e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0120147     	-5.056213e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0122496     	-4.901281e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0124844     	-5.266119e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0127193     	-5.056144e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0129542     	-5.308083e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.013189      	-5.223856e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0134239     	-5.475247e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0136675     	-5.215086e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.013911      	-5.569237e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0141546     	-5.374250e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0143981     	-5.711892e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0146417     	-5.335521e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0148852     	-5.765075e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0151288     	-5.481016e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0153724     	-5.875383e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0156159     	-5.431585e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0158595     	-5.892999e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.016103      	-5.564650e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0163466     	-5.970827e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0165902     	-5.506273e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0168337     	-5.953517e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0170773     	-5.632530e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0173208     	-5.998399e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0175644     	-5.566826e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.017808      	-5.941628e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0180515     	-5.690051e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0182951     	-5.957380e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0185386     	-5.618914e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0187822     	-5.881951e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0190258     	-5.729493e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0192693     	-5.886231e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0195129     	-5.645020e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0197564     	-5.899391e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.02          	-5.708124e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0202564     	-5.760019e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0205128     	-5.753429e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0207692     	-5.768564e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0210256     	-5.630399e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0212821     	-5.780309e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0215385     	-5.666435e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0217949     	-5.634110e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0220513     	-5.681217e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0223077     	-5.646482e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0225641     	-5.545326e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0228205     	-5.641620e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0230769     	-5.570848e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0233333     	-5.494167e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0235897     	-5.571982e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0238462     	-5.514419e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0241026     	-5.427786e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.024359      	-5.511665e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0246154     	-5.452805e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0248718     	-5.453848e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0251282     	-5.348833e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0253846     	-5.442213e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.025641      	-5.384424e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0258974     	-5.386912e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0261538     	-5.282358e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0264103     	-5.377646e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0266667     	-5.323509e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0269231     	-5.328937e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0271795     	-5.227579e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0274359     	-5.318938e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0276923     	-5.272630e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0279487     	-5.277538e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0282051     	-5.181135e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0284615     	-5.284896e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0287179     	-5.238740e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0289744     	-5.248186e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0292308     	-5.153186e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0294872     	-5.258124e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0297436     	-5.212523e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.03          	-5.227043e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0302564     	-5.072687e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0305128     	-5.250311e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0307692     	-5.130233e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0310256     	-5.244528e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0312821     	-5.033114e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0315385     	-5.267766e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0317949     	-5.094097e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0320513     	-5.233038e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0323077     	-5.017073e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0325641     	-5.253505e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0328205     	-5.085051e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0330769     	-5.218518e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0333333     	-5.005896e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0335897     	-5.241292e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0338462     	-5.072142e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0341026     	-5.203574e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.034359      	-5.086049e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0346154     	-5.093043e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0348718     	-5.122962e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0351282     	-5.144979e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0353846     	-5.096718e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.035641      	-5.143577e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0358974     	-4.995693e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0361538     	-5.169712e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0364103     	-5.056083e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0366667     	-5.127807e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0369231     	-5.062612e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0371795     	-5.010481e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0374359     	-5.091670e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0376923     	-5.064143e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0379487     	-5.059440e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0382051     	-5.058442e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0384615     	-4.955268e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0387179     	-5.065848e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0389744     	-5.019202e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0392308     	-5.031764e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0394872     	-5.021264e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0397436     	-4.924968e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04          	-5.037809e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04025       	-4.986931e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0405        	-5.015854e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04075       	-4.996730e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.041         	-4.909029e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04125       	-5.011045e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0415        	-4.979430e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04175       	-4.986128e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.042         	-4.982475e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04225       	-4.889816e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0425        	-4.995824e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04275       	-4.966608e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.043         	-4.972465e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04325       	-4.876381e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0435        	-4.980752e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04375       	-4.953000e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.044         	-4.959171e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04425       	-4.867358e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0445        	-4.967255e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04475       	-4.980616e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.045         	-4.971765e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04525       	-4.897137e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0455        	-4.985670e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04575       	-4.947453e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.046         	-4.952120e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04625       	-4.878595e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0465        	-4.967902e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04675       	-4.935028e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.047         	-4.942136e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04725       	-4.866736e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0475        	-4.958881e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04775       	-4.955004e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.048         	-4.852260e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04825       	-4.956782e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0485        	-4.956032e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04875       	-4.856486e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.049         	-4.962268e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04925       	-4.947209e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0495        	-4.857579e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04975       	-4.959305e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05          	-4.945197e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05025       	-4.859055e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0505        	-4.957231e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05075       	-4.945675e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.051         	-4.860038e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05125       	-4.883205e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0515        	-4.956338e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05175       	-4.940541e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.052         	-4.853375e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05225       	-4.881189e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0525        	-4.951449e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05275       	-4.940822e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.053         	-4.852387e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05325       	-4.868760e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0535        	-4.961154e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05375       	-4.920237e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.054         	-4.881091e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05425       	-4.870986e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0545        	-4.983011e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05475       	-4.925967e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.055         	-4.904455e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05525       	-4.878443e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0555        	-5.006962e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05575       	-4.929623e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.056         	-4.931979e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05625       	-4.880103e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0565        	-5.053555e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05675       	-4.928366e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.057         	-4.957707e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05725       	-4.888805e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0575        	-5.086265e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05775       	-4.866483e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.058         	-5.000433e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05825       	-4.983996e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0585        	-4.977894e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05875       	-4.933658e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.059         	-5.111516e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05925       	-4.901332e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0595        	-5.023664e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05975       	-4.943047e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06          	-5.094675e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06025       	-4.950982e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0605        	-5.034482e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06075       	-4.985677e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.061         	-5.139293e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06125       	-4.963026e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0615        	-5.066230e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06175       	-5.016122e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.062         	-5.176556e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06225       	-4.998361e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0625        	-5.103248e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06275       	-5.060769e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.063         	-5.096463e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06325       	-5.206998e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0635        	-5.088142e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06375       	-5.183495e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.064         	-5.114251e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06425       	-5.155114e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0645        	-5.171752e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06475       	-5.192302e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.065         	-5.202058e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06525       	-5.223797e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0655        	-5.232107e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06575       	-5.256755e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.066         	-5.262992e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06625       	-5.377067e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0665        	-5.275125e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06675       	-5.360548e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.067         	-5.325278e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06725       	-5.398705e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0675        	-5.360037e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06775       	-5.435080e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.068         	-5.397535e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06825       	-5.465512e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0685        	-5.443885e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06875       	-5.494946e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.069         	-5.485701e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06925       	-5.528118e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0695        	-5.525374e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06975       	-5.561435e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07          	-5.554951e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07025       	-5.593970e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0705        	-5.579571e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07075       	-5.626734e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.071         	-5.597464e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07125       	-5.660987e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0715        	-5.606364e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07175       	-5.697701e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.072         	-5.606690e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07225       	-5.733573e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0725        	-5.613049e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07275       	-5.754933e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.073         	-5.621853e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07325       	-5.765851e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0735        	-5.631429e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07375       	-5.768047e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.074         	-5.630483e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07425       	-5.771138e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0745        	-5.631487e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07475       	-5.759283e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.075         	-5.632597e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07525       	-5.733824e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0755        	-5.633652e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07575       	-5.696600e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.076         	-5.621142e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07625       	-5.660601e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0765        	-5.594044e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07675       	-5.617352e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.077         	-5.544251e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.07725       	-5.563639e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
